OrderID,CustomerID,ProductID,OrderDate,Quantity,Price
0976d73c-4ecb-4e3e-9ad7-faf5a1a18783,36,9,2025-04-14 21:24:29,2,45.4
3688c141-0b5a-4b76-839e-03dc7bf7121a,16,50,2025-06-13 04:27:08,3,53.29
0f0d8ea9-94de-46e2-88bd-bac1e1c5a156,79,29,2025-04-18 08:50:12,1,77.78
eaed4ac8-e60a-4ef6-af2e-68be763a2c87,69,39,2025-07-13 19:10:48,3,96.75
a3573b10-e101-4cf2-8699-547f4fe21253,29,47,2025-06-16 17:20:07,3,91.7
a37dbce1-6c97-45f4-bea7-a35bb5753467,86,39,2025-06-25 20:55:01,3,69.76
14708f8a-9ed9-42a0-8642-a24a65f76631,84,34,2025-01-31 13:47:44,5,44.6
2e185e73-5c5b-48b3-9e50-52fc8f785ace,55,38,2025-05-18 10:02:03,2,87.64
46f566b2-145c-474f-8dc7-ab2fd441bf46,53,13,2025-06-05 21:44:26,5,43.52
aa56fc57-a9ae-4041-bd9b-e0a632d4f314,5,2,2025-01-10 06:06:36,5,48.78
362bc747-23e0-4879-aa8d-8891ad3292f4,91,34,2025-01-15 19:23:34,4,87.47
4510a471-f320-4e0d-b1f7-41d6cec6d683,18,46,2025-01-29 23:21:48,5,22.96
d453534b-b07d-4456-9b26-6342d062d426,69,23,2025-06-03 18:21:22,1,82.3
002300b9-89a9-4359-b595-c1d211778c35,43,16,2025-01-13 10:21:22,1,14.36
13bc77be-6590-4df8-9f93-7faccd62bb71,14,3,2025-07-05 08:17:56,3,66.58
fddac32f-df5f-49c6-850a-66d6ac85c775,89,14,2025-01-17 16:49:35,2,30.32
102582b0-1ce1-4b72-833a-93d6e6b2a150,67,21,2025-04-06 02:59:36,1,26.1
faaad0d1-34e9-426b-95f2-ce9eb21d6b90,10,33,2025-06-29 19:42:10,1,92.94
eecdea15-d618-41d7-a333-63230a285b06,80,11,2025-05-05 04:31:17,5,37.36
3e20de3a-ba0a-44cd-ab70-80b0bdef7ab7,82,16,2025-04-08 19:59:42,2,41.44
ade81fc8-00a9-4fed-87a3-da38066e236e,99,12,2025-05-05 03:58:41,4,46.82
bda58905-a3cb-4019-a27f-a364517fa9ec,24,32,2025-01-26 09:35:18,1,17.57
8c31e480-85b5-40bf-948b-35535ce45284,32,26,2025-01-02 22:09:20,5,76.63
dfba8bfe-47ed-40f0-bd57-1b4f7e425f66,50,36,2025-02-10 06:18:40,1,16.55
e8cc5916-2d53-4fec-95da-1b8f93735712,41,42,2025-04-21 16:04:28,3,73.66
399c6f2e-99b3-48e7-af16-381ed4bb9da6,78,8,2025-01-14 05:23:06,5,20.81
92b05690-d0ca-4042-8969-a316258f1168,89,24,2025-06-10 00:55:26,4,75.49
a15d96a3-9c66-462c-81ee-46a2ae3ee535,62,49,2025-04-15 19:04:48,2,38.83
82236b26-a9c4-4258-9561-5f8dec580497,7,41,2025-02-06 13:50:55,1,44.48
4a64d8fd-cf2c-43ab-a1f8-caf066a563e0,81,22,2025-07-09 12:34:31,1,50.86
c9452c60-d6a2-4255-82ac-3c76ae139b44,1,2,2025-05-07 23:55:30,4,71.34
285a563f-6ec5-414b-8284-058b89aee6ec,1,36,2025-01-11 13:36:42,2,71.99
97bd77c8-c5dd-4340-8438-1e8b56e7f494,66,19,2025-03-12 06:03:16,2,27.31
0b87ca39-c2ee-4afc-a17c-a1c85b310da8,16,36,2025-01-29 02:02:23,1,36.75
a9ece2d4-d512-4c3d-ada9-26efcf6337d3,82,28,2025-07-02 04:32:29,4,13.11
2c299710-4016-4cb3-8462-eda71521c090,96,20,2025-01-20 11:52:55,1,48.26
5c86affd-c206-4741-85c5-ee8947cc8f71,22,35,2025-04-21 13:12:30,3,47.07
d89060ad-5f0f-4bc2-8c0b-89a0aade91fe,59,24,2025-06-03 19:19:43,4,95.08
cfea4899-124e-4997-9501-3122d7d499f0,3,7,2025-02-13 21:06:32,2,23.41
2b916e42-cd2a-48ad-842e-6be8383a3b0a,67,13,2025-06-20 03:39:00,3,49.01
af361fe3-5b75-409d-a5f5-54909b58f440,88,49,2025-07-06 16:04:51,2,15.51
f6420ac4-e18d-4f3b-ac63-0aa7aae18a3a,95,48,2025-05-25 13:43:28,1,72.64
3816f3e0-6ee6-4a99-a3b1-19007cc0c4d3,45,9,2025-06-05 00:44:24,5,22.11
4ec5844b-fc84-475c-8d0c-02e40b690047,24,12,2025-04-11 11:32:28,2,36.2
f733a12a-1362-4980-a69f-2e1a21abbfe7,2,5,2025-05-01 00:11:31,4,41.53
bb3637be-9eac-4a4d-82a3-93068e331efd,6,34,2025-04-06 11:06:59,2,71.93
e2869472-6a77-405c-ba83-6a51dd04622a,81,16,2025-01-07 21:24:53,1,79.74
f46a4385-4379-4978-bc2e-7ae1a6defa91,18,50,2025-01-12 00:26:23,5,86.86
71b4280c-d70a-4e6d-9c2e-63636298c264,83,9,2025-01-31 02:24:22,5,65.22
9307a4d4-a923-4c2c-833f-d1b793b21ecd,36,22,2025-02-20 03:26:18,5,69.33
c6951220-1589-44c2-93c2-36dd3420e6f8,8,13,2025-04-18 13:03:10,1,93.19
f1d5dce8-f4c9-4cae-9891-914232f1b9bc,98,49,2025-04-20 12:20:50,5,72.65
59a26fb0-efce-4654-ba01-29db43f4d5e4,9,50,2025-04-07 11:17:39,1,59.19
